ID,Segment
TEST_00002,D
TEST_00010,D
TEST_00012,D
TEST_00016,D
TEST_00032,D
TEST_00034,D
TEST_00037,C
TEST_00039,D
TEST_00053,C
TEST_00055,D
TEST_00057,D
TEST_00058,D
TEST_00088,C
TEST_00099,D
TEST_00104,D
TEST_00118,C
TEST_00119,D
TEST_00123,D
TEST_00124,D
TEST_00128,D
TEST_00133,D
TEST_00136,C
TEST_00137,C
TEST_00141,D
TEST_00154,D
TEST_00161,D
TEST_00166,D
TEST_00169,D
TEST_00189,D
TEST_00194,D
TEST_00195,C
TEST_00196,D
TEST_00198,C
TEST_00203,D
TEST_00205,D
TEST_00209,D
TEST_00210,C
TEST_00218,D
TEST_00221,D
TEST_00229,D
TEST_00238,C
TEST_00239,D
TEST_00242,D
TEST_00243,D
TEST_00249,D
TEST_00250,D
TEST_00267,D
TEST_00271,D
TEST_00275,D
TEST_00276,D
TEST_00280,D
TEST_00282,D
TEST_00283,D
TEST_00293,C
TEST_00302,D
TEST_00304,C
TEST_00309,D
TEST_00310,D
TEST_00316,C
TEST_00328,D
TEST_00342,C
TEST_00343,D
TEST_00357,C
TEST_00380,C
TEST_00385,D
TEST_00393,D
TEST_00395,D
TEST_00398,D
TEST_00404,C
TEST_00405,D
TEST_00411,D
TEST_00416,D
TEST_00420,D
TEST_00424,D
TEST_00427,D
TEST_00431,C
TEST_00439,D
TEST_00441,D
TEST_00443,D
TEST_00448,D
TEST_00456,D
TEST_00457,D
TEST_00460,D
TEST_00463,D
TEST_00467,C
TEST_00470,D
TEST_00471,C
TEST_00474,D
TEST_00481,D
TEST_00488,C
TEST_00492,D
TEST_00496,D
TEST_00500,D
TEST_00506,C
TEST_00510,D
TEST_00512,C
TEST_00517,D
TEST_00522,D
TEST_00541,D
TEST_00546,D
TEST_00547,D
TEST_00550,D
TEST_00553,D
TEST_00558,C
TEST_00562,D
TEST_00578,D
TEST_00579,D
TEST_00594,D
TEST_00626,D
TEST_00627,D
TEST_00630,D
TEST_00631,C
TEST_00656,C
TEST_00659,C
TEST_00661,D
TEST_00662,D
TEST_00663,D
TEST_00664,D
TEST_00667,D
